🍑遥遥领先体育🍑,#genre#
风云足球,http://58.19.38.162:9901/tsfile/live/1034_1.m3u8
风云足球,http://171.88.174.168:8123/udp/239.93.0.235:5140 
咪咕足球,http://live-cmvideo.cmread.com:80/migu/lunbo/eufootball/57/20230310/01.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=da834f97e3c8832f6fd8f2be9ba16464
咪咕球赛,http://live-cmvideo.cmread.com:80/migu/lunbo/wudaliansai/57/20230310/01.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=37390fe8508db105ef85c897db9015f6
魅力足球,http://171.88.174.168:8123/udp/239.93.42.97:5140 
魅力足球,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel43083/index.m3u8
足球频道,https://epg.pw/stream/c7df950876e6a1ceb8be74ee86f9f702cebbbae29f1d15124ef8f86fd43161cf.m3u8
绿茵足球,http://116.112.91.149:7000/udp/239.125.1.51:5000
绿茵足球,http://171.88.174.168:8123/udp/239.93.0.197:9040 
纬来篮球,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
纬来篮球,https://cloud.yumixiu768.com/tmp/123.m3u8
咪咕体育,http://live-cmvideo.cmread.com:80/wd_r2/virtuallive/tysy201903/150/01.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=d71afdb4433cfb1ced90779b543d1dee
高夫网球,http://171.88.174.168:8123/udp/239.93.1.54:5140 
广东体育,http://116.21.122.2:4433/tsfile/live/0142_1.m3u8
广东体育,http://116.21.122.2:4433/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
五星体育,http://58.32.32.69:8000/rtp/239.45.3.210:5140
NOW体育,http://mtw.so/62SxG4
ELEVEN1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN2,rtmp://f13h.mine.nu/sat/tv741
RedBullTV,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_6660.m3u8
爱上体育,http://116.112.91.149:7000/udp/239.125.1.122:4130
爱上赛车,http://171.223.215.229:4000/udp/239.93.42.20:5140
爱上赛车,http://171.88.174.168:8123/udp/239.93.42.20:5140 
麻辣体育,http://171.223.215.229:4000/udp/239.93.42.2:5140
麻辣体育,http://171.88.174.168:8123/udp/239.93.42.2:5140 
竞技天下,http://171.223.215.229:4000/udp/239.93.42.19:5140
竞技天下,http://171.88.174.168:8123/udp/239.93.42.19:5140 
先锋乒羽,http://171.223.215.229:4000/udp/239.93.42.56:5140
先锋乒羽,http://171.88.174.168:8123/udp/239.93.42.56:5140 
先锋乒羽,http://wouu.net:9977/udp/239.93.42.56:5140?Cf=cfss.cc
先锋乒羽,http://118.254.203.236:8888/udp/239.76.253.51:9000
武术世界,http://118.254.203.236:8888/udp/239.76.252.181:9000
格斗频道,http://live-cmvideo.cmread.com:80/migu/lunbo/ufc/57/20230310/01.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=de66cc31b2e686e8503003557c03ec69
美国摔跤,https://d2p372oxiwmcn1.cloudfront.net:443/hls/1080p/playlist.m3u8
天元围棋,http://171.223.215.229:4000/udp/239.93.42.55:5140
天元围棋,http://171.88.174.168:8123/udp/239.93.42.55:5140 
天元围棋,http://118.254.203.236:8888/udp/239.76.253.2:9000
央视台球,http://171.88.174.168:8123/udp/239.93.0.218:5140 
快乐垂钓,http://171.88.174.168:8123/udp/239.93.1.151:5140 
四海钓鱼,http://171.88.174.168:8123/udp/239.93.0.55:5140 
四海钓鱼,http://118.254.203.236:8888/udp/239.76.253.4:9000
太公钓鱼,http://171.223.215.229:4000/udp/239.93.42.8:5140
太公钓鱼,http://171.88.174.168:8123/udp/239.93.42.8:5140 



