🍑央壹🍑,#genre#
CCTV1综合,http://118.254.203.236:8888/udp/239.76.253.151:9000
CCTV2财经,http://118.254.203.236:8888/udp/239.76.253.152:9000
CCTV3综艺,http://118.254.203.236:8888/udp/239.76.253.153:9000
CCTV4中文国际,http://118.254.203.236:8888/udp/239.76.253.154:9000
CCTV4中文欧洲,http://118.254.203.236:8888/udp/239.76.253.95:9000
CCTV4中文美洲,http://118.254.203.236:8888/udp/239.76.253.96:9000
CCTV5体育,http://118.254.203.236:8888/udp/239.76.253.155:9000
CCTV5+体育赛事,http://118.254.203.236:8888/udp/239.76.253.168:9000
CCTV6电影,http://118.254.203.236:8888/udp/239.76.253.156:9000
CCTV7国防军事,http://118.254.203.236:8888/udp/239.76.253.157:9000
CCTV8电视剧,http://118.254.203.236:8888/udp/239.76.253.158:9000
CCTV9纪录,http://118.254.203.236:8888/udp/239.76.253.159:9000
CCTV10科教,http://118.254.203.236:8888/udp/239.76.253.160:9000
CCTV11戏曲,http://118.254.203.236:8888/udp/239.76.252.251:9000
CCTV12社会与法,http://118.254.203.236:8888/udp/239.76.253.162:9000
CCTV13新闻,http://118.254.203.236:8888/udp/239.76.253.93:9000
CCTV14少儿,http://118.254.203.236:8888/udp/239.76.253.164:9000
CCTV15音乐,http://118.254.203.236:8888/udp/239.76.252.252:9000
CCTV16奥林匹克,http://118.254.203.236:8888/udp/239.76.253.98:9000
CCTV17农业农村,http://118.254.203.236:8888/udp/239.76.252.238:9000
CCTV第一剧场,http://118.254.203.236:8888/udp/239.76.254.49:9000
CCTV风云剧场,http://118.254.203.236:8888/udp/239.76.254.50:9000
CCTV风云音乐,http://118.254.203.236:8888/udp/239.76.254.51:9000
CCTV风云足球,http://118.254.203.236:8888/udp/239.76.254.52:9000
CCTV怀旧剧场,http://118.254.203.236:8888/udp/239.76.254.53:9000
CCTV女性时尚,http://118.254.203.236:8888/udp/239.76.254.55:9000
CCTV央视精品,http://118.254.203.236:8888/udp/239.76.254.56:9000
CCTV世界地理,http://118.254.203.236:8888/udp/239.76.254.57:9000
CCTV央视台球,http://118.254.203.236:8888/udp/239.76.254.58:9000
CCTV兵器科技,http://118.254.203.236:8888/udp/239.76.254.59:9000
CCTV电视指南,http://118.254.203.236:8888/udp/239.76.254.61:9000
CCTV高尔夫·网球,http://118.254.203.236:8888/udp/239.76.254.62:9000
CETV1高清,http://118.254.203.236:8888/udp/239.76.252.192:9000
CETV2高清,http://118.254.203.236:8888/udp/239.76.252.253:9000
CETV4高清,http://118.254.203.236:8888/udp/239.76.252.254:9000
CGTN高清,http://118.254.203.236:8888/udp/239.76.252.66:9000
CGTN纪录,http://118.254.203.236:8888/udp/239.76.252.67:9000
CGTN法语,http://118.254.203.236:8888/udp/239.76.253.87:9000
CGTN俄语,http://118.254.203.236:8888/udp/239.76.253.86:9000
CGTN西班牙语,http://118.254.203.236:8888/udp/239.76.253.88:9000
CGTN阿拉伯语,http://118.254.203.236:8888/udp/239.76.253.97:9000

