🍑卡通动漫🍑,#genre#
金鹰卡通,http://171.14.92.209:808/hls/91/index.m3u8
金鹰卡通,http://106.46.39.174:808/hls/91/index.m3u8
金鹰卡通,http://121.19.134.120:808/hls/64/index.m3u8
金鹰卡通,http://113.98.122.166:9901/tsfile/live/1069_1.m3u8?key=txiptv
金鹰卡通,http://171.223.215.229:4000/udp/239.93.0.108:5140
金鹰卡通,http://171.88.174.168:8123/udp/239.93.0.5:5140 
金鹰卡通,http://118.144.105.52:91/live/JYKT-1500k/live.m3u8
炫动卡通,http://113.98.122.166:9901/tsfile/live/1070_1.m3u8?key=txiptv
炫动卡通,http://171.14.92.209:808/hls/94/index.m3u8
炫动卡通,http://106.46.39.174:808/hls/94/index.m3u8
炫动卡通,http://171.223.215.229:4000/udp/239.93.0.173:5140
炫动卡通,http://171.88.174.168:8123/udp/239.93.0.173:5140 
炫动卡通,http://118.254.203.236:8888/udp/239.76.252.133:9000
嘉佳卡通,http://113.98.122.166:9901/tsfile/live/1072_1.m3u8?key=txiptv
嘉佳卡通,http://171.14.92.209:808/hls/92/index.m3u8
嘉佳卡通,http://106.46.39.174:808/hls/92/index.m3u8
嘉佳卡通,http://171.223.215.229:4000/udp/239.93.0.246:5140
嘉佳卡通,http://171.88.174.168:8123/udp/239.93.0.246:5140
嘉佳卡通,http://118.254.203.236:8888/udp/239.76.252.230:9000
嘉佳卡通,http://124.205.11.199:91/live/JJKT-1500k/live.m3u8
优漫卡通,http://113.98.122.166:9901/tsfile/live/1071_1.m3u8?key=txiptv
优漫卡通,http://171.223.215.229:4000/udp/239.93.0.251:5140
优漫卡通,http://171.88.174.168:8123/udp/239.93.0.251:5140 
优漫卡通,http://118.254.203.236:8888/udp/239.76.252.112:9000
卡酷动画,http://113.98.122.166:9901/tsfile/live/1068_1.m3u8?key=txiptv
卡酷动画,http://171.14.92.209:808/hls/93/index.m3u8
卡酷动画,http://106.46.39.174:808/hls/93/index.m3u8
卡酷动画,http://171.223.215.229:4000/udp/239.93.0.208:5140
卡酷动画,http://171.88.174.168:8123/udp/239.93.42.1:5140 
卡酷动画,http://118.254.203.236:8888/udp/239.76.254.81:9000
卡酷少儿,http://118.144.105.53:91/live/BTVKKhd-5M/live.m3u8
卡酷少儿,http://118.144.105.53:91/live/BTVKK-1500k/live.m3u8
华数动画,http://171.223.215.229:4000/udp/239.93.0.193:9000
华数动画,http://171.88.174.168:8123/udp/239.93.0.193:9000 
爱上玩具,http://171.223.215.229:4000/udp/239.93.42.18:5140
爱上玩具,http://171.88.174.168:8123/udp/239.93.42.18:5140 
爱上动漫,http://171.223.215.229:4000/udp/239.93.42.23:5140
爱上动漫,http://171.88.174.168:8123/udp/239.93.42.23:5140 
爱上幼教,http://171.88.174.168:8123/udp/239.93.42.17:5140 
百视动画,http://171.223.215.229:4000/udp/239.93.0.147:5140
百视动画,http://171.88.174.168:8123/udp/239.93.42.89:5140 
百视动漫,http://171.223.215.229:4000/udp/239.93.0.146:5140
中录动漫,http://171.88.174.168:8123/udp/239.93.1.188:5140 
中录动漫,http://171.223.215.229:4000/udp/239.93.1.188:5140
青春动漫,http://171.88.174.168:8123/udp/239.93.0.146:5140 
动漫秀场,http://171.88.174.168:8123/udp/239.93.42.93:5140 
动漫秀场,http://118.254.203.236:8888/udp/239.76.253.124:9000
新漫动漫,http://118.254.203.236:8888/udp/239.76.252.244:9000
少儿天地,http://171.223.215.229:4000/udp/239.93.42.34:5140
少儿天地,http://171.88.174.168:8123/udp/239.93.42.34:5140 

🍑儿童教育🍑,#genre#
乐龄学堂,http://171.88.174.168:8123/udp/239.93.1.179:5140 
早期教育,http://171.88.174.168:8123/udp/239.93.0.117:5140 
早期教育,http://118.254.203.236:8888/udp/239.76.254.202:9000
亲子趣学,http://171.88.174.168:8123/udp/239.93.1.191:5140 
优优宝贝,http://118.254.203.236:8888/udp/239.76.253.13:9000
金色学堂,http://171.88.174.168:8123/udp/239.93.42.95:5140 
中学生,http://118.254.203.236:8888/udp/239.76.254.27:9000
中华国学,http://118.254.203.236:8888/udp/239.76.254.48:9000
书画频道,http://171.88.174.168:8123/udp/239.93.42.67:5140 
书画频道,http://118.254.203.236:8888/udp/239.76.253.77:9000


