🍑剧场影院🍑,#genre#
华数4K,http://171.223.215.229:4000/udp/239.93.0.97:5140
绚影4K,http://171.223.215.229:4000/udp/239.93.42.33:5140
绚影4K,http://171.88.174.168:8123/udp/239.93.42.33:5140 
蓝光4K,http://171.223.215.229:4000/udp/239.93.0.43:5140
乐享4K,http://171.88.174.168:8123/udp/239.93.0.43:5140
爱上院线,http://171.223.215.229:4000/udp/239.93.42.11:5140
爱上院线,http://171.88.174.168:8123/udp/239.93.42.11:5140 
爱上经典,http://171.88.174.168:8123/udp/239.93.42.13:5140 
爱上喜剧,http://171.223.215.229:4000/udp/239.93.42.9:5140
爱上喜剧,http://171.88.174.168:8123/udp/239.93.42.9:5140 
爱上谍战,http://171.88.174.168:8123/udp/239.93.42.14:5140 
爱上科幻,http://171.223.215.229:4000/udp/239.93.42.10:5140
爱上科幻,http://171.88.174.168:8123/udp/239.93.42.10:5140 
爱上悬疑,http://171.223.215.229:4000/udp/239.93.42.12:5140
爱上悬疑,http://171.88.174.168:8123/udp/239.93.42.12:5140 
爱上奇谈,http://171.223.215.229:4000/udp/239.93.42.22:5140
爱上奇谈,http://171.88.174.168:8123/udp/239.93.42.22:5140 
爱上青春,http://171.88.174.168:8123/udp/239.93.42.16:5140 
爱上怀旧,http://171.88.174.168:8123/udp/239.93.42.21:5140 
百视热门,http://171.223.215.229:4000/udp/239.93.0.140:5140
百视热门,http://171.88.174.168:8123/udp/239.93.42.88:5140 
百视大片,http://171.223.215.229:4000/udp/239.93.0.105:5140
百视大片,http://171.88.174.168:8123/udp/239.93.42.90:5140 
百视谍战,http://171.223.215.229:4000/udp/239.93.0.95:5140
百视谍战,http://171.88.174.168:8123/udp/239.93.42.91:5140 
百视华语,http://171.223.215.229:4000/udp/239.93.0.138:5140
百视华语,http://171.88.174.168:8123/udp/239.93.42.86:5140 
百视星光,http://171.223.215.229:4000/udp/239.93.0.139:5140
百视星光,http://171.88.174.168:8123/udp/239.93.42.87:5140 
红色影院,http://171.88.174.168:8123/udp/239.93.0.202:9068 
欢笑剧场,http://171.88.174.168:8123/udp/239.93.0.145:5140 
都市剧场,http://171.223.215.229:4000/udp/239.93.42.30:5140
都市剧场,http://171.88.174.168:8123/udp/239.93.42.30:5140 
青春剧场,http://171.223.215.229:4000/udp/239.93.42.16:5140
复古剧场,http://171.223.215.229:4000/udp/239.93.42.21:5140
热播剧场,http://171.223.215.229:4000/udp/239.93.0.56:9020
