🍑港澳台🍑,#genre#
凤凰中文,http://113.64.145.204:8081/hls/37/index.m3u8
凤凰中文,http://118.254.203.236:8888/udp/239.76.253.134:9000
凤凰中文,http://118.254.203.236:8888/udp/239.76.246.8:1234
凤凰资讯,http://113.64.145.204:8081/hls/36/index.m3u8
凤凰资讯,http://118.254.203.236:8888/udp/239.76.253.135:9000
凤凰资讯,http://118.254.203.236:8888/udp/239.76.246.7:1234
凤凰香港,http://113.64.145.204:8081/hls/38/index.m3u8
凤凰中文,http://171.223.215.229:4000/udp/239.93.0.162:2192
凤凰资讯,http://171.223.215.229:4000/udp/239.93.0.118:2191
星空,http://171.223.215.229:4000/udp/239.93.0.156:2193

凤凰中文频道,http://183.204.13.237/cee7354084e908e7d71a99f88ecd0c61.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰中文频道,http://146.56.153.245:20121/bysid/258
凤凰中文频道,http://hikvision.city:880/fhws.m3u8
凤凰中文频道,http://wouu.net:9977/rtp/239.93.0.162:2192?Cf=cfss.cc
凤凰中文频道,http://www.cdtriot.cn:9999/udp/239.93.0.162:2192
凤凰中文频道,http://112.19.171.156:9999/udp/239.93.0.162:2192

凤凰资讯频道,http://183.204.13.237/cee7354084e908e7d71a99f88ecd0c61.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰资讯频道,http://146.56.153.245:20121/bysid/257
凤凰资讯频道,http://hikvision.city:880/fhzx.m3u8
凤凰资讯频道,http://wouu.net:9977/rtp/239.93.0.118:2191?Cf=cfss.cc
凤凰资讯频道,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰资讯频道,http://www.cdtriot.cn:9999/udp/239.93.0.118:2191
凤凰资讯频道,http://112.19.171.156:9999/udp/239.93.0.118:2191
凤凰中文,http://play-flive.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯,http://play-flive.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰香港,http://113.64.145.91:8081/hls/38/index.m3u8
无线新闻频道,http://66.165.240.154:8080/live/TVBwxxwt/hls.m3u8
无线新闻频道,http://154.yfvodcdn.com:8080/live/TVBtyzxt1/hls.m3u8
无线新闻频道,http://154.yfvodcdn.com:8080/live/TVBwxxwt/hls.m3u8
无线新闻频道,http://mtw.so:80/5ycWzD
香港文旅频道,http://ali-play.lezhibo.com/lezhibo/6ad788f1bbab4c689ecdc0d64a1e1601.m3u8
TVB星河频道,https://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
功夫影院频道,https://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
无线财经体育,https://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
TVB翡翠频道,http://58.87.99.251:8090/HK/tvb/hls.m3u8
TVB翡翠频道,http://gmlive.ddns.net:5000/kun5g/kun5g2024/51 
香港凤凰频道,http://183.204.13.13/cee7354084e908e7d71a99f88ecd0c61.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8
香港凤凰频道,http://146.56.153.245:20121/bysid/259
香港凤凰频道,http://103.95.24.37:880/fhxgt.m3u8 
香港凤凰频道,http://hikvision.city:880/fhxgt.m3u8
香港凤凰频道,http://113.64.145.220:8081/hls/38/index.m3u8
香港本港频道,http://113.64.145.220:8081/hls/135/index.m3u8
无线星河频道,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
星空卫视频道,http://vl15191373.imwork.net:8880/udp/239.93.1.10:2193
星空卫视频道,http://wouu.net:9977/udp/239.93.0.156:2193
无线娱乐频道,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
香港電台(34),https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
香港電台(34),https://livedoc.cgtn.com/1000d/prog_index.m3u8
香港33台高清,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台高清,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台高清,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
耀才财经频道,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
耀才财经频道,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8


凤凰中文频道,http://www.cdtriot.cn:9999/udp/239.93.0.162:2192
凤凰中文频道,http://112.19.171.156:9999/udp/239.93.0.162:2192

凤凰资讯频道,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰资讯频道,http://www.cdtriot.cn:9999/udp/239.93.0.118:2191
凤凰资讯频道,http://112.19.171.156:9999/udp/239.93.0.118:2191
无线新闻频道,http://119.136.123.52:8001/bysid/83
ViuTV 新闻台,http://119.136.123.52:8000/bysid/99

TVB 翡翠频道,http://60.30.198.43:5080/HK/tvb/hls.m3u8
TVB 翡翠频道,http://60.30.198.43:5080/HK/gdfc1/hls.m3u8
TVB 翡翠频道,http://119.136.123.52:8000/bysid/1
无线星河频道,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
无线星河频道,http://171.108.239.90:8181/tsfile/live/1005_1.m3u8?key=txiptv
TVB香港 Plus,http://php.jdshipin.com:8880/PLTV/iptv.php?id=j2
TVB香港 Plus,http://119.136.123.52:8001/bysid/82
香港VIUTV 台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=viutv
香港HOYTV 台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=hoytv
香港明珠频道,http://php.jdshipin.com:8880/PLTV/iptv.php?id=mzt2
香港明珠频道,http://119.136.123.52:8001/bysid/2
欧洲华文频道,http://vvlive.eztv.vip/hwetnew/hwetnew.m3u8?auth_key=1710810771-0-0-c5ce71079eaa4d245127b05375ae371f
香港凤凰频道,http://hikvision.city:880/fhxgt.m3u8
香港凤凰频道,http://119.136.123.52:8001/bysid/85
无线星河频道,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
无线星河频道,https://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
星空卫视频道,http://wouu.net:9977/udp/239.93.0.156:2193
星空卫视频道,http://wouu.net:9977/udp/239.93.0.156:2193
无线娱乐频道,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
港台電視 31,http://119.136.123.52:8002/bysid/31
港台電視 32,http://119.136.123.52:8002/bysid/32
港台電視 33,http://119.136.123.52:8002/bysid/33
港台電視 34,http://119.136.123.52:8002/bysid/34
香港33台高清,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港電台(34),https://livedoc.cgtn.com/1000d/prog_index.m3u8
香港電台(34),https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
香港34台高清,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台高清,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
耀才财经频道,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
耀才财经频道,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
澳门莲花频道,http://php.jdshipin.com:8880/amlh.php
4k👉修复全网,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
4k👉动物全网,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
4K南国都市台,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
